date,raw_close,close_hfq,open,high,low,volume,amount,market_cap_100m,pe_ttm,pb,ps_ttm,pcf_ttm,total_shares_100m,return_from_20260624
2026-07-08,69.3,100.92,73.02,74.09,69.3,33219.59,235221869.0,87.62015354399999,19.647051400406443,3.5688039383658197,2.466282704182769,20.821662227384095,1.26436008,-0.15312232677502136
2026-07-09,68.93,100.38,69.43,70.49,64.72,43548.76,293889131.0,87.1523403144,19.542153723376856,3.549749718204271,2.453114961029124,20.710493179416822,1.26436008,-0.1576438958817059
2026-07-10,66.43,96.74,69.18,70.19,66.43,33924.72,231692518.0,83.9914401144,18.833385635339106,3.421004987382993,2.364143723504493,19.959350963421723,1.26436008,-0.18819503849443964
2026-07-13,62.05,90.36,66.72,67.01,61.84,36585.66,233341250.0,78.453542964,17.591623945096966,3.195444218984114,2.2082661153613397,18.643349800998312,1.26436008,-0.24172064035194918
2026-07-14,62.89,91.59,62.31,62.89,60.28,24073.38,148798381.0,79.5156054312,17.82977002267765,3.2387024485400633,2.2381604511696156,18.895733585572664,1.26436008,-0.23145545643407062
2026-07-15,61.51,89.58,62.2,63.27,61.3,24668.81,153418742.0,77.7707885208,17.438530038080813,3.167635357126718,2.1890483280560193,18.48110308234337,1.26436008,-0.2483196871562997
2026-07-16,59.65,86.87,61.87,62.5,59.0,22824.07,138213139.0,75.41907877199999,16.911206580580725,3.0718492773956876,2.1228537273376937,17.92225327364302,1.26436008,-0.27104973726017356
2026-07-17,56.31,82.0,61.0,62.04,56.3,41764.99,246217957.0,71.1961161048,15.964292414962292,2.8998463170184605,2.0039881540047872,16.91872727307357,1.26436008,-0.31186606379078574
2026-07-20,54.01,78.66,56.56,57.96,52.86,43948.96,243304451.0,68.2880879208,15.312225773967562,2.781401164662885,1.9221346154821264,16.22767643435808,1.26436008,-0.3399731149945008
2026-07-21,57.1,83.16,54.22,57.37,52.74,45071.55,249777678.0,72.194960568,16.18826313078222,2.940529651957984,2.03210306506257,17.156088213328022,1.26436008,-0.30221190272516185
2026-07-22,55.24,80.45,57.27,57.78,54.91,32125.5,180105747.0,69.8432508192,15.660939673282135,2.8447435722269536,1.965908464344245,16.597238404627667,1.26436008,-0.3249419528290358
2026-07-23,57.75,84.1,55.62,58.3,54.98,35859.89,203045057.0,73.01679462,16.372542833672036,2.9740032819715165,2.0552355868189744,17.351385189486745,1.26436008,-0.2942686056458511
2026-07-24,55.15,80.32,56.76,57.28,55.01,25653.78,143560655.0,69.729458412,15.635424022112776,2.8401087619173873,1.9627054997933582,16.570197284851844,1.26436008,-0.3260417939630942
2026-07-27,58.3,84.9,55.9,58.62,55.5,33453.28,192499418.0,73.712192664,16.52847181304034,3.0023271227521975,2.074809259074393,17.516636477005665,1.26436008,-0.2875473542710497
2026-07-28,57.0,83.01,57.2,59.36,56.62,26912.86,155335401.0,72.06852456,16.159912407260713,2.9353798627251333,2.028544215561585,17.126042524688216,1.26436008,-0.3034339484296713
