date,raw_close,close_hfq,open,high,low,volume,amount,market_cap_100m,pe_ttm,pb,ps_ttm,pcf_ttm,total_shares_100m
2026-07-28,57.0,83.01,57.2,59.36,56.62,26912.86,155335401.0,72.06852456,16.159912407260713,2.9353798627251333,2.028544215561585,17.126042524688216,1.26436008
2026-07-27,58.3,84.9,55.9,58.62,55.5,33453.28,192499418.0,73.712192664,16.52847181304034,3.0023271227521975,2.074809259074393,17.516636477005665,1.26436008
2026-07-24,55.15,80.32,56.76,57.28,55.01,25653.78,143560655.0,69.729458412,15.635424022112776,2.8401087619173873,1.9627054997933582,16.570197284851844,1.26436008
2026-07-23,57.75,84.1,55.62,58.3,54.98,35859.89,203045057.0,73.01679462,16.372542833672036,2.9740032819715165,2.0552355868189744,17.351385189486745,1.26436008
2026-07-22,55.24,80.45,57.27,57.78,54.91,32125.5,180105747.0,69.8432508192,15.660939673282135,2.8447435722269536,1.965908464344245,16.597238404627667,1.26436008
2026-07-21,57.1,83.16,54.22,57.37,52.74,45071.55,249777678.0,72.194960568,16.18826313078222,2.940529651957984,2.03210306506257,17.156088213328022,1.26436008
2026-07-20,54.01,78.66,56.56,57.96,52.86,43948.96,243304451.0,68.2880879208,15.312225773967562,2.781401164662885,1.9221346154821264,16.22767643435808,1.26436008
2026-07-17,56.31,82.0,61.0,62.04,56.3,41764.99,246217957.0,71.1961161048,15.964292414962292,2.8998463170184605,2.0039881540047872,16.91872727307357,1.26436008
2026-07-16,59.65,86.87,61.87,62.5,59.0,22824.07,138213139.0,75.41907877199999,16.911206580580725,3.0718492773956876,2.1228537273376937,17.92225327364302,1.26436008
2026-07-15,61.51,89.58,62.2,63.27,61.3,24668.81,153418742.0,77.7707885208,17.438530038080813,3.167635357126718,2.1890483280560193,18.48110308234337,1.26436008
2026-07-14,62.89,91.59,62.31,62.89,60.28,24073.38,148798381.0,79.5156054312,17.82977002267765,3.2387024485400633,2.2381604511696156,18.895733585572664,1.26436008
2026-07-13,62.05,90.36,66.72,67.01,61.84,36585.66,233341250.0,78.453542964,17.591623945096966,3.195444218984114,2.2082661153613397,18.643349800998312,1.26436008
2026-07-10,66.43,96.74,69.18,70.19,66.43,33924.72,231692518.0,83.9914401144,18.833385635339106,3.421004987382993,2.364143723504493,19.959350963421723,1.26436008
2026-07-09,68.93,100.38,69.43,70.49,64.72,43548.76,293889131.0,87.1523403144,19.542153723376856,3.549749718204271,2.453114961029124,20.710493179416822,1.26436008
2026-07-08,69.3,100.92,73.02,74.09,69.3,33219.59,235221869.0,87.62015354399999,19.647051400406443,3.5688039383658197,2.466282704182769,20.821662227384095,1.26436008
2026-07-07,73.88,107.59,76.86,77.63,73.7,26999.11,203855256.0,93.41092271039999,20.9455145376916,3.8046642852304,2.6292780113278926,22.197754767087112,1.26436008
2026-07-06,76.14,110.88,77.7,79.33,75.8,24035.01,185905061.0,96.2683764912,21.58624088927773,3.921049521892836,2.70970801005016,22.876787330346684,1.26436008
2026-07-03,77.44,112.78000000000002,79.89,81.4,77.15,32590.34,256472938.0,97.9120445952,21.95480029505736,3.9879967819199003,2.755973053562968,23.267381282664132,1.26436008
2026-07-02,79.98,116.48000000000002,78.99,82.68,78.4,34019.86,274779330.0,101.1235191984,22.674908672503715,4.118801428434319,2.8463678308879925,24.03054177411515,1.26436008
2026-07-01,80.4,117.09,80.89,82.7,77.3,43833.08,350831803.0,101.65455043200001,22.79398171129406,4.140430543212293,2.861314998792131,24.156733666402328,1.26436008
2026-06-30,80.89,117.8,74.39,80.89,74.22,42029.67,328287385.0,102.27408687120001,22.932900256549456,4.165664510453264,2.8787533613469583,24.30395754073737,1.26436008
2026-06-29,74.21,108.07,73.01,74.99,71.55,33373.73,245019934.0,93.82816153679998,21.03907192531258,3.8216585896988087,2.641022214681144,22.296905539598463,1.26436008
2026-06-26,74.0,107.77,79.97,80.26,73.6,40997.58,310174506.0,93.56264592,20.979535405917414,3.810844032309822,2.6335486307290754,22.23380959345488,1.26436008
2026-06-25,78.48,114.29,81.36,81.9,78.25,40412.13,321556835.0,99.2269790784,22.249647819681062,4.041554589941552,2.792985088373214,23.579856444518093,1.26436008
2026-06-24,81.83,119.17,81.53,82.56,79.83,31273.09,254853015.0,103.46258534639999,23.199397057651648,4.214072529242063,2.9122065466562193,24.58638701395152,1.26436008
2026-06-23,81.9,119.27,84.2,84.2,81.21,32179.75,265802582.0,103.551090552,23.21924256411671,4.21767738170506,2.9146977413069095,24.607418995999385,1.26436008
2026-06-22,84.5,123.06,82.91,84.68,80.6,46618.14,386500409.0,106.83842676,23.956361375675968,4.351571901759188,3.007227828332525,25.388606900634286,1.26436008
2026-06-18,83.4,121.46,84.38,84.46,82.31,27164.8,226446067.0,105.447630672,23.644503416939358,4.294924220197826,2.9680804838216877,25.058104325596446,1.26436008
2026-06-17,83.77,121.99999999999999,82.5,84.68,81.88,37572.61,313059747.0,105.9154439016,23.74940109396894,4.313978440359375,2.981248226975333,25.16927337356372,1.26436008
2026-06-16,83.83,122.08,81.77,85.2,80.19,52995.4,440557458.0,105.9913055064,23.766411528081846,4.317068313899086,2.983383536675924,25.1873007867476,1.26436008
